Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu,Hallucination
0,0,1065.9893310070038,0.0,79.925,59.73846696326084,87.84624118157515,1.607283592224121,0,0.04510260745882988
1,7,1059.2951369285583,16.5,59.4,23.467450915665726,91.60133342336192,3.227663278579712,0.025889510042735615,0.01455251406878233
2,0,1103.1256473064423,16.9,57.6,23.70677690166628,91.87747109707331,1.607283592224121,0,0.04510260745882988
3,212,1305.8137543201447,15.8,51.05,38.55048978050531,94.62749422941783,8.098007202148438,0.8604600799301209,0.7406277060508728
4,233,1177.1096181869507,33.8,56.975,38.34122333840995,95.97072070382346,6.634352207183838,0.9031297607918837,0.29914629459381104
5,0,1116.009191274643,30.5,56.85,22.502544557897135,91.06001155366829,1.607283592224121,0,0.04510260745882988
6,6,1136.081080198288,15.1,55.65,27.573004428906177,91.59413113663588,6.490933895111084,0.04216670930803092,0.008109943009912968
7,0,1145.8816933631897,13.7,56.45,22.112620757090376,90.78457410227747,1.607283592224121,0,0.04510260745882988
8,0,1168.545452594757,13.0,54.9,23.33795980223721,91.31109127147869,1.607283592224121,0,0.04510260745882988
9,18,1172.454973936081,14.4,53.275,33.74886526472155,94.95709887889406,2.177659273147583,0.16302913592429624,0.07621770352125168
10,0,1178.5004889965057,14.4,54.375,23.260485204052287,91.70896759721211,1.607283592224121,0,0.04510260745882988
11,169,1222.8838691711426,13.2,54.95,23.362167488177494,91.54896679695803,7.9901814460754395,0.8266162057671785,0.18922656774520874
12,244,1389.902009010315,23.9,48.175,38.36593118315065,95.64171624490776,11.507740020751953,0.7098580667038326,0.38434651494026184
13,0,1230.8258755207062,28.3,50.6,50.14317045661998,95.1702665596327,1.607283592224121,0,0.04510260745882988
14,14,1351.2435574531555,11.4,46.425,53.103660412180865,95.1890225146484,2.362480878829956,0.479676449968321,0.03223882615566254
15,0,1141.7119147777557,15.4,55.6,23.324505530505935,89.51287033633179,1.607283592224121,0,0.04510260745882988
16,224,1419.937064409256,14.0,47.025,30.431011846261185,96.11266577138241,10.579586029052734,0.713710901329105,0.18028950691223145
17,280,1260.5639626979828,31.4,52.925,38.56684497327902,94.62464332425546,9.674281120300293,0.8859445290417914,0.3431914150714874
18,0,1174.5658440589905,32.0,52.5,34.02395260495207,96.09646062624884,1.607283592224121,0,0.04510260745882988
19,7,1399.7431662082672,13.6,44.6,47.70044489125297,95.21793169331264,3.162537097930908,0.03430023925860384,0.19989944994449615
20,0,1408.3521182537079,14.6,44.35,36.62592873237253,95.62226006757145,1.607283592224121,0,0.04510260745882988
21,0,1146.0945038795471,14.1,55.575,23.18376084406799,89.51842209901643,1.607283592224121,0,0.04510260745882988
22,8,1244.7632999420166,12.5,51.2,25.282677250026886,90.40815458908203,2.0362038612365723,0.6389431042462724,0.14970196783542633
23,0,1180.8816964626312,14.1,53.25,32.49861831131384,96.55255543635104,1.607283592224121,0,0.04510260745882988
24,0,1178.4355623722076,13.6,54.225,24.35588299285023,91.78824276707854,1.607283592224121,0,0.04510260745882988
25,8,1204.1860332489014,13.6,51.9,34.7347282762277,94.45448930035286,2.6519272327423096,0.06447959223908561,0.04579654708504677
26,0,1179.2262728214264,13.8,54.375,24.91821153216146,91.5364128110675,1.607283592224121,0,0.04510260745882988
27,0,1189.9284646511078,13.8,53.825,25.571819052549184,91.85041250597065,1.607283592224121,0,0.04510260745882988
28,8,1244.8210883140564,13.3,51.3,23.27388945990352,90.36173985240313,1.9642913341522217,0.7259795291154771,0.11324864625930786
29,0,1196.565090417862,12.8,51.9,32.558887446764345,95.50207190783073,1.607283592224121,0,0.04510260745882988
30,0,1147.062263727188,13.3,56.075,24.23064322922528,91.73562606127446,1.607283592224121,0,0.04510260745882988
31,0,1159.287010192871,14.0,55.275,23.259634934091576,91.65635089140802,1.607283592224121,0,0.04510260745882988
32,5,1189.628677368164,14.2,54.225,24.35533281816977,91.80769894441485,2.740128993988037,0.021807863384847224,0.005680908914655447
33,0,1206.4248175621033,14.0,53.225,23.310451068214157,90.66153503737436,1.607283592224121,0,0.04510260745882988
34,123,1225.8686192035675,13.0,52.75,37.89483160903587,95.52272846628804,4.169126510620117,0.5355968783859479,0.01796555332839489
35,116,1191.367101430893,19.1,53.575,28.41497175353175,93.1699314532364,7.597982883453369,0.6160251698195727,0.055059731006622314
36,0,1215.0969002246857,18.9,52.4,23.329106991469793,89.20832364275657,1.607283592224121,0,0.04510260745882988
37,6,1348.5893168449402,12.3,46.5,40.14989759248561,96.4813828390514,1.9135369062423706,0.5169731539571706,0.07728636264801025
38,0,1209.2394018173218,13.8,53.0,23.257784346530023,91.33434865569818,1.607283592224121,0,0.04510260745882988
39,190,1266.2091431617737,14.2,52.325,34.176551054959944,94.98145661247446,11.424365043640137,0.6576506539750373,0.10281992703676224
40,0,1174.801782131195,24.4,54.225,21.218937012501467,90.94407474373114,1.607283592224121,0,0.04510260745882988
41,9,1340.7426462173462,11.8,48.3,24.918561643321755,91.81485121526084,2.4921481609344482,0.27274191069381915,0.04715350642800331
42,0,1212.5304214954376,13.3,52.75,23.29659666944255,90.80002900921042,1.607283592224121,0,0.04510260745882988
43,100,1270.9414734840393,13.0,50.3,34.58333020734083,95.35782610978985,5.0013275146484375,0.49292727986877677,0.16109277307987213
44,60,1242.9718172550201,18.4,51.0,33.02368501999385,94.86251884973478,4.927464962005615,0.4156605407255685,0.1302664577960968
45,61,1203.5271537303925,14.9,52.35,36.639383004103806,95.08513953180135,4.7550835609436035,0.3704292051283521,0.9005551338195801
46,138,1204.205658197403,17.2,53.725,30.85174542917376,95.40344059238808,7.101804733276367,0.5758867674260372,0.08485409617424011
47,69,1188.0757520198822,22.1,55.075,23.24312969367774,90.8622987798626,4.354686737060547,0.4275021606886646,0.2578735053539276
48,148,1232.5272557735443,16.9,52.2,31.422026493411657,96.4058588601881,7.030965805053711,0.5911955040116492,0.29262223839759827
49,195,1289.106736421585,24.9,50.525,33.94937892780958,95.14160746036868,7.718308925628662,0.6620194486912674,0.06258903443813324
50,71,1220.4353964328766,25.9,52.95,23.83516766573387,90.81113253457973,7.47715950012207,0.40193579156743575,0.009683641605079174
51,0,1251.4741101264954,17.5,51.6,27.37984310018431,91.67490678290358,1.607283592224121,0,0.04510260745882988
52,8,1431.4011981487274,12.6,44.25,39.85735471012046,93.7528665351249,1.9984605312347412,0.7259795291154771,0.18617691099643707
53,0,1211.4972541332245,13.1,51.375,46.20076874407624,95.45320639302979,1.607283592224121,0,0.04510260745882988
54,210,1226.3149690628052,13.8,54.7,29.402835400239574,91.5868788340298,9.647686958312988,0.6845944343607513,0.27048811316490173
55,29,1205.64608168602,28.2,53.6,23.276640333305824,91.58892948511152,4.2995991706848145,0.2156444668130217,0.6645146608352661
56,102,1213.9654204845428,14.6,52.925,30.7355585398364,96.22195046927399,6.321766376495361,0.501386474215403,0.07989656180143356
57,189,1224.6348223686218,18.9,54.175,21.755207278310866,91.39941931563271,7.739002227783203,0.6456118138677063,0.4851396679878235
58,25,1367.3513939380646,22.3,46.725,23.32810667386895,90.46752343869179,3.2831945419311523,0.19431660123149608,0.8751833438873291
59,62,1260.7120459079742,14.8,50.175,35.128753379197896,95.55914002695856,8.82487678527832,0.372615048514016,0.02614186517894268
60,0,1222.8799948692322,17.1,52.05,23.263686220374968,91.94014099476584,1.607283592224121,0,0.04510260745882988
61,9,1241.7828469276428,12.7,50.575,35.94626293848297,93.99829445849058,2.1254208087921143,0.0520181392371891,0.1377488374710083
62,0,1457.4900484085083,13.5,43.05,35.06603346562534,96.02298729846727,1.607283592224121,0,0.04510260745882988
63,196,1295.101996421814,14.2,52.175,23.273039189942807,91.70556651736926,9.398741722106934,0.7094659273569808,0.037575315684080124
64,0,1237.8102207183838,24.4,51.125,28.30548699212,95.99417815156312,1.607283592224121,0,0.04510260745882988
65,9,1265.111603975296,12.5,49.3,46.31100374368862,95.58104698241692,1.9865984916687012,0.7598356856515925,0.09545362740755081
66,0,1477.9285144805908,12.1,42.425,47.054389768751584,95.44895504322622,1.607283592224121,0,0.04510260745882988
67,190,1236.701384305954,13.6,53.65,23.294195907200535,90.80518064485474,7.492970943450928,0.6277133086482027,0.45346811413764954
68,96,1195.728411436081,25.4,54.225,31.27342931380713,91.4298289706982,5.441132068634033,0.4951687673838801,0.12244241684675217
69,47,1175.5453052520752,18.8,54.375,21.848536910469075,90.69909696328584,5.37630558013916,0.31548618284864405,0.15682674944400787
70,71,1296.9254734516144,13.9,48.275,29.881687435760856,96.15873039690102,8.008810997009277,0.35075247476580546,0.1347632110118866
71,0,1221.5795147418976,17.8,52.4,23.325205752826523,90.56095310261007,1.607283592224121,0,0.04510260745882988
72,6,1377.4919879436493,12.1,45.7,33.54234969602849,96.01498475766056,2.973095417022705,0.03465945304975065,0.1151392012834549
73,0,1222.207513809204,13.5,52.625,23.228324993185336,91.83165655095493,1.607283592224121,0,0.04510260745882988
74,26,1421.3779926300049,13.7,44.775,33.77772442750573,90.6867430409155,4.713067531585693,0.19976260337353519,0.010804617777466774
