Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu,Hallucination
0,0,1108.3433542251587,0.0,75.9,60.35986425690156,87.82753524243947,1.607283592224121,0,0.04510260745882988
1,7,1042.9344720840454,16.5,61.275,23.499361047132464,91.27623020308948,3.227663278579712,0.025889510042735615,0.01455251406878233
2,0,1122.445559978485,16.1,56.975,23.65471037054265,91.40987263456147,1.607283592224121,0,0.04510260745882988
3,212,1162.6473371982574,15.8,58.475,23.189512670272812,91.1913032387783,8.098007202148438,0.8604600799301209,0.7406277060508728
4,233,1203.6084570884705,32.5,55.175,38.22998802119673,94.68471239618579,6.634352207183838,0.9031297607918837,0.29914629459381104
5,0,1246.332200050354,34.4,49.65,37.380568330444916,96.67619469181466,1.607283592224121,0,0.04510260745882988
6,6,1147.9181928634644,14.0,54.75,43.22187294465993,95.02872161911407,6.490933895111084,0.04216670930803092,0.008109943009912968
7,0,1131.852233171463,15.8,57.25,23.18266049470707,91.73127467971081,1.607283592224121,0,0.04510260745882988
8,0,1150.7307164669037,15.3,55.4,23.274089523423687,90.13081653424962,1.607283592224121,0,0.04510260745882988
9,18,1150.7978591918945,14.7,54.45,37.67761264201384,94.4860493206593,2.177659273147583,0.16302913592429624,0.07621770352125168
10,0,1177.1870110034943,15.2,53.35,33.222848254320745,95.44100251829956,1.607283592224121,0,0.04510260745882988
11,169,1365.9449644088745,13.5,48.75,34.48434878073788,90.29631908130831,7.9901814460754395,0.8266162057671785,0.18922656774520874
12,244,1236.5813364982605,26.5,53.725,37.911286833569655,94.6220925143733,11.507740020751953,0.7098580667038326,0.38434651494026184
13,0,1169.3050377368927,29.2,55.4,23.194814353557256,90.93927321924711,1.607283592224121,0,0.04510260745882988
14,14,1181.1600308418274,12.9,53.4,23.26053521993233,90.9836373048443,2.362480878829956,0.479676449968321,0.03223882615566254
15,0,1238.0216302871704,16.5,54.3,26.349115844280558,90.74391119180339,1.607283592224121,0,0.04510260745882988
16,224,1254.3994596004486,12.8,53.575,25.391411773238005,90.49323160103333,10.579586029052734,0.713710901329105,0.18028950691223145
17,280,1269.1235795021057,25.3,54.7,23.15675226884536,89.84997736781428,9.674281120300293,0.8859445290417914,0.3431914150714874
18,0,1233.1659681797028,32.7,51.75,23.146549029316805,91.78619211599684,1.607283592224121,0,0.04510260745882988
19,7,1323.4742486476898,15.4,48.925,37.21201481470367,90.5243414784194,3.162537097930908,0.03430023925860384,0.19989944994449615
20,0,1369.148072719574,13.9,45.275,42.13732860183108,95.4614590132367,1.607283592224121,0,0.04510260745882988
21,0,1076.578894853592,13.5,58.0,34.69776654087673,95.1745679253163,1.607283592224121,0,0.04510260745882988
22,8,1326.456216096878,12.3,48.0,39.634684012173864,94.27603264036331,2.0362038612365723,0.6389431042462724,0.14970196783542633
23,0,1177.695571899414,12.8,53.875,23.15235087140167,91.51215510924719,1.607283592224121,0,0.04510260745882988
24,0,1275.7505402565002,14.1,49.225,37.32124949671521,91.1143287993938,1.607283592224121,0,0.04510260745882988
25,8,1407.9393355846405,13.3,44.125,35.522378355127756,95.24694090373693,2.6519272327423096,0.06447959223908561,0.04579654708504677
26,0,1186.0166566371918,13.1,52.1,35.544835485266574,95.17336754419529,1.607283592224121,0,0.04510260745882988
27,0,1218.6693663597107,12.0,50.725,46.20281939515796,95.2375879341691,1.607283592224121,0,0.04510260745882988
28,8,1378.1842448711395,11.6,45.35,52.33816736813939,95.13095407791974,1.9642913341522217,0.7259795291154771,0.11324864625930786
29,0,1142.8621084690094,13.8,54.675,35.37388120728331,96.1819877811205,1.607283592224121,0,0.04510260745882988
30,0,1192.4219975471497,12.2,51.725,40.30374643949454,95.69893441167571,1.607283592224121,0,0.04510260745882988
31,0,1328.547768354416,13.6,46.475,45.63919044296564,95.26454649351169,1.607283592224121,0,0.04510260745882988
32,5,1162.9621646404266,12.8,54.05,45.425222508146334,95.5051228765133,2.740128993988037,0.021807863384847224,0.005680908914655447
