Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu,Hallucination
0,0,81.40500140190125,0.0,91.225,11.659501891850663,12.07453366443846,1.916216254234314,0,0.34962135553359985
1,7,74.90031337738037,36.525,93.375,17.94299690151623,17.94299690151623,2.1187849044799805,0.06237923061531353,0.42675936222076416
2,0,74.83183407783508,62.875,93.25,19.03429338815074,19.03429338815074,1.916216254234314,0,0.34962135553359985
3,212,80.7365620136261,67.325,94.825,18.965921680133444,18.969122696456125,13.323015213012695,0.7100133839405113,0.7390741109848022
4,233,81.71702122688293,84.75,94.9,19.26306602346245,19.26466653162379,10.302199363708496,0.7123508210550348,0.11864547431468964
5,0,75.17457175254822,84.15,93.225,19.313732109944908,19.313732109944908,1.916216254234314,0,0.34962135553359985
6,6,75.34138488769531,67.075,93.25,18.998932160961104,18.998932160961104,2.07362961769104,0.09072069007511593,0.2721787393093109
7,0,75.01144671440125,64.225,93.225,18.999382303881482,18.999382303881482,1.916216254234314,0,0.34962135553359985
8,0,74.94039249420166,64.475,93.3,18.999982494441987,18.999982494441987,1.916216254234314,0,0.34962135553359985
9,18,75.73669266700745,66.175,93.225,19.001633018483368,19.001633018483368,1.9376691579818726,0.15952108192798922,0.03537935018539429
10,0,75.40668106079102,66.05,93.175,19.234356908318393,19.234356908318393,1.916216254234314,0,0.34962135553359985
11,169,79.99466061592102,64.325,94.75,19.000582685002488,19.000582685002488,12.324234008789062,0.6026953444569351,0.3576348125934601
12,244,82.32409358024597,70.35,94.85,19.33413858900201,19.33413858900201,15.434457778930664,0.7017142297824548,0.012490293942391872
13,0,75.4657814502716,85.25,93.15,19.401810074698716,19.401810074698716,1.916216254234314,0,0.34962135553359985
14,14,75.71657037734985,65.9,93.25,19.004734003045968,19.004734003045968,2.2221839427948,0.0776554320211718,0.10112851113080978
15,0,75.35976886749268,67.3,93.2,19.00653457472748,19.00653457472748,1.916216254234314,0,0.34962135553359985
16,224,81.60098385810852,64.425,94.75,19.006034415927058,19.006034415927058,13.686657905578613,0.7557831871877793,0.273019939661026
17,280,83.11719155311584,83.575,94.825,19.41131309190668,19.41131309190668,13.06859016418457,0.7894697546403071,0.382781445980072
18,0,75.26228666305542,87.175,93.225,19.480134942844355,19.480134942844355,1.916216254234314,0,0.34962135553359985
19,7,75.48780298233032,55.45,93.25,19.00678465412769,19.00678465412769,2.1186225414276123,0.09072069007511593,0.3309493660926819
20,0,75.34374141693115,63.4,93.125,19.0066846223676,19.0066846223676,1.916216254234314,0,0.34962135553359985
21,0,75.70951986312866,63.775,93.0,19.006584590607517,19.006584590607517,1.916216254234314,0,0.34962135553359985
22,8,75.60132551193237,64.475,93.15,19.00798503524869,19.00798503524869,2.0318615436553955,0.1398918268773484,0.3116983473300934
23,0,75.49154925346375,61.85,93.075,19.00563428888672,19.00563428888672,1.916216254234314,0,0.34962135553359985
24,0,75.6105043888092,66.3,93.075,19.00798503524869,19.00798503524869,1.916216254234314,0,0.34962135553359985
25,8,75.59264707565308,64.275,93.2,19.006034415927058,19.006034415927058,2.1636581420898438,0.1398918268773484,0.2731354832649231
26,0,75.45217490196228,56.375,93.15,19.0051341300863,19.0051341300863,1.916216254234314,0,0.34962135553359985
27,0,75.41610360145569,66.55,93.15,19.004984082446178,19.004984082446178,1.916216254234314,0,0.34962135553359985
28,8,75.47441673278809,64.975,93.25,19.007784971728523,19.007784971728523,2.1509594917297363,0.1398918268773484,0.2764647901058197
29,0,75.34139037132263,64.65,93.2,19.006734638247643,19.006734638247643,1.916216254234314,0,0.34962135553359985
30,0,75.41517186164856,64.725,93.1,19.00903536872957,19.00903536872957,1.916216254234314,0,0.34962135553359985
31,0,75.36849427223206,61.175,93.15,19.00748487644827,19.00748487644827,1.916216254234314,0,0.34962135553359985
32,5,75.58243727684021,64.75,93.25,19.00953552752999,19.00953552752999,2.065222978591919,0.345720784641941,0.13507936894893646
33,0,75.61898875236511,61.95,93.05,19.009185416369696,19.009185416369696,1.916216254234314,0,0.34962135553359985
34,123,78.80618572235107,66.05,94.125,19.017438036576614,19.017438036576614,8.08348274230957,0.556141077107356,0.1429634988307953
35,116,78.66860175132751,80.7,94.0,19.34614240021207,19.34614240021207,12.962769508361816,0.5526784662238714,0.10537125915288925
36,0,75.62398195266724,78.075,93.175,19.362997751786192,19.362997751786192,1.916216254234314,0,0.34962135553359985
37,6,75.69425249099731,66.85,93.15,19.0521490573257,19.0521490573257,2.0699563026428223,0.09072069007511593,0.2410108596086502
38,0,75.55752730369568,63.85,93.175,19.04899805688306,19.04899805688306,1.916216254234314,0,0.34962135553359985
39,190,80.80950427055359,64.575,94.675,19.050598565044403,19.050598565044403,18.64996337890625,0.6529446703240552,0.14756916463375092
40,0,75.71788835525513,85.0,93.125,19.4547768916631,19.4547768916631,1.916216254234314,0,0.34962135553359985
