Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu,Hallucination
0,0,38.58706879615784,0.0,39.1,84.0,62.9,5.5286712646484375,0,0.044108010828495026
1,8,40.51714491844177,48.9,50.6,45.8,62.5,3.371819257736206,0.035995605159860604,0.0204336978495121
2,0,33.29913091659546,54.1,52.3,40.6,62.3,4.586434364318848,0,0.027895033359527588
3,183,43.03306603431702,43.8,40.0,40.8,67.0,14.74645709991455,0.6646622934437147,0.15463508665561676
4,188,36.36051678657532,43.0,36.0,40.1,62.0,14.22787857055664,0.6535989328834482,0.05375400558114052
5,0,34.867668867111206,52.9,36.5,44.3,62.6,1.3274495601654053,0,0.1162969097495079
6,7,33.75678896903992,55.2,38.2,43.9,63.3,5.632724761962891,0.040121877637459134,0.10197199881076813
7,0,31.81683087348938,43.2,42.5,41.3,61.9,3.6794400215148926,0,0.04452623799443245
8,0,33.474042892456055,44.0,39.6,42.2,62.7,1.2605209350585938,0,0.047850027680397034
9,11,16.944499969482422,55.1,58.4,40.9,61.0,32.37417984008789,0.5512003357447272,0.3607294261455536
10,0,32.2728328704834,53.0,42.4,41.0,61.6,7.858491897583008,0,0.03600381314754486
11,152,40.900501012802124,41.4,40.9,45.1,68.1,13.636425971984863,0.6026953444569351,0.06965935975313187
12,218,41.01301407814026,65.9,37.9,42.4,66.9,22.968387603759766,0.6885486256835452,0.04185866937041283
13,0,32.58559989929199,50.6,37.2,42.8,62.1,5.548116683959961,0,0.027949728071689606
14,11,32.494120836257935,44.8,37.1,41.4,62.2,6.763121604919434,0.14128129251952778,0.002752794185653329
15,0,32.99889898300171,68.6,38.1,42.6,62.8,2.5745716094970703,0,0.033793676644563675
16,206,45.613611936569214,44.2,41.9,43.0,67.8,14.952735900878906,0.6812073389463522,0.029590701684355736
