Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu,Hallucination
0,0,908.0868124961853,0.0,72.6,38.846133647433064,66.6528622837751,5.8748297691345215,0,0.029684433713555336
1,8,815.1768176555634,25.0,61.1,21.567647728153688,86.6859227804828,6.173495292663574,0.03988852501714161,0.01952330581843853
2,0,818.3561086654663,26.8,59.55,21.381738702037897,85.59732715137056,4.478331565856934,0,0.05242651700973511
3,183,845.089747428894,28.2,61.9,18.9538178371633,83.47030182082811,11.731705665588379,0.7223349448368072,0.19523385167121887
4,188,862.6879601478577,54.1,59.825,34.86852075533982,95.1404570951277,14.644315719604492,0.6378175487238958,0.04018045589327812
5,0,826.1790833473206,53.8,58.975,38.393790028333996,95.18462111720471,3.677685260772705,0,0.027933184057474136
6,7,838.9324941635132,21.2,57.8,19.01108601981129,83.32910699146979,2.634751319885254,0.13523285066501545,0.5523770451545715
7,0,836.5386745929718,18.9,58.275,18.915855784211487,83.20826862528853,7.7949910163879395,0,0.01894669607281685
8,0,773.0067415237427,20.0,54.475,21.23149099839199,85.4838911354355,9.361016273498535,0,0.029241731390357018
9,11,849.7828528881073,16.2,56.7,18.889447399549354,83.20106633856248,2.648329257965088,0.1289910935914641,0.037396714091300964
10,0,849.6909534931183,26.0,56.95,21.401595006414535,85.64759311081268,4.383406639099121,0,0.05280003324151039
11,152,879.202535867691,19.4,57.35,19.026540926744243,83.57983659811991,17.04334259033203,0.6194761708448866,0.013345576822757721
12,218,915.0600416660309,44.3,57.575,19.169136200743736,83.6376049395683,21.763168334960938,0.6859745670790697,0.08218450099229813
13,0,868.3751623630524,44.5,56.075,21.452311108777035,85.75592750698347,5.615929126739502,0,0.021511685103178024
14,11,670.6684951782227,24.0,42.975,19.0673038689784,83.33730959579665,6.005010604858398,0.17052957615943123,0.053897663950920105
15,0,875.4543824195862,15.4,55.525,19.013086655012966,83.34231118380086,8.503996849060059,0,0.01529698632657528
16,206,913.8970723152161,16.3,56.375,21.251797445689004,85.7442738069337,15.721114158630371,0.6786318397640139,0.05661151558160782
17,247,923.2895932197571,52.0,57.875,18.99853203392077,83.6478581949769,18.243234634399414,0.7335537021342591,0.09432373940944672
18,0,865.7088429927826,48.9,56.025,19.00903536872957,83.3398604056788,1.4282854795455933,0,0.03558305650949478
19,8,874.3271577358246,22.4,55.175,18.795817672110896,83.168255921255,6.52799654006958,0.050537911934993435,0.04534014314413071
20,0,894.3918282985687,17.2,54.425,18.886746542027094,83.2015664973629,6.071963787078857,0,0.019690455868840218
21,0,911.2413966655731,18.4,53.675,22.16763822513648,85.48854261227939,7.5860185623168945,0,0.10235583037137985
22,9,900.25550532341,19.6,55.0,19.288274027003574,83.20136643384275,3.270174741744995,0.1826249361348376,0.03518699109554291
23,0,901.0346148014069,17.9,53.8,18.87304219089561,83.21827180129692,10.179189682006836,0,0.03829316422343254
24,0,890.6253643035889,21.4,53.625,21.19828045404416,85.49389431144388,8.799942016601562,0,0.01161836925894022
25,9,916.6246736049652,25.6,53.8,18.857687315722742,83.23012556486684,2.339534282684326,0.10878661088699644,0.16174936294555664
26,0,899.8420352935791,18.3,53.925,18.902701607760463,83.23832816919372,1.4840470552444458,0,0.012136331759393215
27,0,941.4152998924255,15.2,52.0,37.92354072417993,95.41219337139542,6.661884784698486,0,0.058771491050720215
28,9,907.760999917984,19.4,52.725,18.850334981356582,83.20996916520996,2.4099104404449463,0.05758233380726041,0.1287500560283661
29,0,885.1369605064392,18.6,54.475,18.85343596591918,83.18906252735243,6.729102611541748,0,0.014941119588911533
30,0,900.3333308696747,17.8,53.55,21.194679310681142,85.53350688843709,4.024235725402832,0,0.17404204607009888
31,0,887.2493259906769,19.3,55.55,18.862288776686597,83.22032245237862,5.783491611480713,0,0.0338493287563324
32,6,917.452271938324,17.8,53.675,22.00923793304374,85.57181905254919,9.254602432250977,0.02893595128130361,0.028528844937682152
33,0,902.4323470592499,21.5,52.975,18.874192556136574,83.2242236910219,6.920474529266357,0,0.019233807921409607
34,113,914.6893625259399,18.5,54.025,18.820475500971558,83.32575592750699,16.109512329101562,0.547146552358375,0.02192109264433384
35,123,887.831157207489,29.5,55.85,21.42885366103738,85.91972951412073,12.367996215820312,0.6268015743769481,0.41872233152389526
36,0,902.4445989131927,32.4,53.875,19.178489170311575,83.4628994705819,5.587488651275635,0,0.08654443919658661
37,7,903.5962479114532,17.9,53.675,18.850435013116666,83.2436798683582,8.388946533203125,0.05471597152656129,0.02046634629368782
38,0,905.2634677886963,18.5,53.2,21.237893031037355,85.55271298637317,7.123624801635742,0,0.3271048367023468
39,192,946.3123683929443,20.9,54.35,18.79226654462792,83.4047810179732,22.90692901611328,0.6697178397579131,0.10754598677158356
40,0,866.9075918197632,29.5,55.775,18.910153973886707,83.41703490858347,4.105123043060303,0,0.01569124311208725
41,10,907.9423635005951,18.5,53.1,18.863539173687645,83.24077894731577,2.387411594390869,0.14722500792577722,0.1296713501214981
