Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu,Hallucination
0,0,1.887693166732788,0.0,37.3,62.0,62.4,2.007154941558838,0,0.6185795664787292
1,8,1.8605930805206299,41.2,41.2,61.4,61.6,1.6735291481018066,1.0,0.7972981929779053
2,0,1.8153700828552246,54.9,54.0,61.9,62.1,2.007154941558838,0,0.6185795664787292
3,183,2.0679750442504883,62.7,37.6,61.1,61.1,15.797857284545898,0.6271100655837559,0.5258049964904785
4,188,2.077785015106201,61.9,39.3,61.2,61.3,30.43241310119629,0.6203427560060726,0.9380673170089722
5,0,1.8181421756744385,53.0,40.0,60.4,60.5,2.007154941558838,0,0.6185795664787292
6,7,1.8533661365509033,38.6,45.8,60.6,60.6,1.7081842422485352,1.0,0.8027721047401428
7,0,1.8269729614257812,58.2,56.0,60.7,60.7,2.007154941558838,0,0.6185795664787292
8,0,1.8171017169952393,40.2,39.3,60.8,60.9,2.007154941558838,0,0.6185795664787292
9,11,1.992995023727417,58.3,63.5,61.2,62.7,1.96028733253479,0.8801117367933934,0.7186247110366821
10,0,1.9255561828613281,59.3,39.8,64.7,62.0,2.007154941558838,0,0.6185795664787292
11,152,2.1109139919281006,81.9,61.4,62.8,63.6,13.164655685424805,0.599986532784576,0.28797873854637146
12,218,2.0855369567871094,75.9,53.7,62.2,62.5,20.291099548339844,0.66364590976901,0.2588390111923218
13,0,1.8246212005615234,47.1,44.2,61.3,61.4,2.007154941558838,0,0.6185795664787292
14,11,0.6122090816497803,45.8,43.9,61.9,61.9,10.000519752502441,0.2515565919019027,0.01680869050323963
15,0,1.8284258842468262,38.1,42.4,62.1,62.0,2.007154941558838,0,0.6185795664787292
16,206,2.1103010177612305,41.0,37.8,62.9,62.6,19.019865036010742,0.6812073389463522,0.2584180235862732
17,247,2.1457102298736572,36.7,40.2,61.5,61.5,18.787044525146484,0.6982296222987074,0.8365433216094971
18,0,1.8217368125915527,39.0,42.4,61.4,61.4,2.007154941558838,0,0.6185795664787292
19,8,1.8853907585144043,40.7,51.2,61.8,61.7,1.8123822212219238,1.0,0.86956387758255
20,0,1.837785005569458,35.4,56.0,62.9,62.5,2.007154941558838,0,0.6185795664787292
21,0,1.8368010520935059,38.4,45.8,62.3,62.1,2.007154941558838,0,0.6185795664787292
22,9,1.8835241794586182,47.0,38.1,62.8,62.8,1.7107734680175781,1.0,0.8698995113372803
23,0,1.8410758972167969,40.9,38.8,61.8,61.7,2.007154941558838,0,0.6185795664787292
24,0,1.8331210613250732,58.2,39.5,61.8,61.7,2.007154941558838,0,0.6185795664787292
25,9,1.8632071018218994,58.3,38.1,62.0,62.0,1.7470142841339111,1.0,0.845051646232605
26,0,1.8274798393249512,39.8,51.2,62.2,62.1,2.007154941558838,0,0.6185795664787292
27,0,1.8384528160095215,39.5,43.5,62.6,62.3,2.007154941558838,0,0.6185795664787292
28,9,1.8948659896850586,58.5,43.0,62.6,62.5,1.723020315170288,1.0,0.8502343893051147
29,0,1.8451740741729736,38.8,38.4,61.7,61.6,2.007154941558838,0,0.6185795664787292
30,0,1.8463149070739746,46.3,39.3,61.5,61.4,2.007154941558838,0,0.6185795664787292
31,0,1.8502752780914307,36.9,46.2,61.4,61.4,2.007154941558838,0,0.6185795664787292
32,6,1.8876240253448486,56.0,37.8,61.6,61.5,1.711549997329712,1.0,0.766838014125824
33,0,1.8413381576538086,59.0,37.6,61.7,61.7,2.007154941558838,0,0.6185795664787292
