Input Text Index,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Score
1,2.28676700592041,13.0,23.3,2435022848,3178004480,1.577498197555542
3,2.364208698272705,12.3,26.0,3249389568,3201318912,15.28372859954834
4,2.650470018386841,30.8,46.6,3292987392,3323674624,30.347156524658203
6,2.082414150238037,19.9,34.0,3340763136,3267051520,1.5668333768844604
9,2.0712690353393555,26.3,36.0,3341221888,3286515712,1.72016441822052
11,2.2982993125915527,24.8,43.8,3360849920,3341123584,12.906193733215332
12,2.3757753372192383,18.9,29.7,3378937856,3161161728,19.494770050048828
14,0.7850689888000488,29.6,25.1,3256598528,3354902528,6.852205276489258
16,2.571230888366699,11.4,19.8,3335290880,3257008128,18.799549102783203
17,2.345111846923828,10.1,34.2,3271000064,3224567808,18.662471771240234
19,2.0138580799102783,21.8,28.1,3274014720,3255943168,1.6130317449569702
22,2.111328125,24.4,34.5,3280420864,3259645952,1.5153350830078125
25,2.0157692432403564,28.8,34.1,3318890496,3268952064,1.53059983253479
28,2.046759843826294,24.7,34.3,3340648448,3303587840,1.508989930152893
32,2.0068070888519287,23.3,34.4,3351920640,3341729792,1.5316673517227173
34,2.1733601093292236,26.0,34.4,3372023808,3301605376,11.25361442565918
35,2.1814959049224854,25.4,36.7,3322609664,3307716608,10.232500076293945
37,2.0567662715911865,22.0,32.3,3288596480,3206430720,1.4782521724700928
39,2.4085540771484375,25.8,36.1,3303129088,3279765504,21.685781478881836
41,2.025658130645752,27.8,36.6,3301048320,3274539008,1.6092418432235718
43,2.139080047607422,27.2,35.6,3299377152,3277668352,12.516298294067383
44,2.091826915740967,27.3,34.9,3314450432,3292725248,4.334076881408691
45,2.0634632110595703,24.5,36.0,3333652480,3304718336,6.829139232635498
46,2.175225019454956,29.3,36.9,3388882944,3302883328,13.931443214416504
47,2.114635944366455,22.5,34.5,3336437760,3255074816,6.166617393493652
48,2.2990341186523438,23.7,39.8,3343384576,3322822656,17.051158905029297
49,2.273258924484253,24.7,36.1,3276111872,3260891136,10.288213729858398
50,2.1077330112457275,29.1,41.3,3282190336,3272114176,7.286012649536133
52,2.1983530521392822,27.9,42.4,3275784192,3263168512,1.5185314416885376
54,2.3973522186279297,29.2,35.3,3313336320,3277078528,16.574251174926758
55,2.1503469944000244,17.3,38.1,3255386112,3291627520,4.8776702880859375
56,2.2382659912109375,29.0,38.1,3272982528,3290644480,8.33740520477295
57,2.276304006576538,19.3,35.5,3265609728,3267395584,15.473539352416992
58,2.063878297805786,16.9,37.8,3254140928,3212197888,4.955467700958252
59,2.2200498580932617,24.8,38.3,3290431488,3283501056,7.3782429695129395
61,2.055424928665161,25.1,35.5,3285336064,3323265024,1.6349561214447021
63,2.325706958770752,20.3,35.3,3304521728,3257909248,14.402159690856934
65,2.03309965133667,13.8,36.1,3265413120,3236839424,1.61923348903656
67,2.262054920196533,22.2,35.2,3292397568,3269525504,16.403217315673828
68,2.246901750564575,22.0,37.9,3282436096,3204661248,8.539945602416992
69,2.0824172496795654,22.1,36.2,3179937792,3212427264,5.699117660522461
70,2.1421759128570557,24.0,33.8,3219177472,3233366016,11.841460227966309
72,2.0295870304107666,21.2,34.6,3223896064,3242622976,2.1825356483459473
74,2.11332106590271,27.7,35.6,3229499392,3259875328,4.503011226654053
76,2.075366735458374,22.0,34.9,3244605440,3248308224,1.4975627660751343
78,2.2023351192474365,18.2,34.8,3252338688,3232120832,12.256758689880371
79,2.102025032043457,16.4,36.4,3217375232,3185508352,9.776741027832031
81,2.0371696949005127,27.5,35.3,3215638528,3222552576,1.7070358991622925
83,2.1791720390319824,24.2,35.3,3260645376,3207135232,16.359317779541016
84,2.1243441104888916,16.7,35.7,3222454272,3180150784,10.873873710632324
85,2.170161247253418,22.4,36.9,3198107648,3195273216,10.121783256530762
87,2.0384838581085205,25.2,35.5,3213164544,3206938624,1.6665583848953247
89,2.475234031677246,29.4,35.1,3256385536,3209379840,55.70322799682617
90,2.1851909160614014,18.5,34.0,3206299648,3156164608,15.85236644744873
91,2.0853660106658936,21.8,37.3,3189653504,3228385280,4.785959720611572
92,2.3405771255493164,25.4,44.2,3231694848,3091611648,10.875533103942871
94,2.1710762977600098,23.3,35.8,3042508800,3202088960,1.49267578125
96,2.3397791385650635,23.9,42.0,3205103616,3186786304,6.937716960906982
97,2.3889846801757812,28.8,32.7,3055206400,3189407744,10.050558090209961
