Input Text Index,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Score
1,9.121292114257812,20.8,18.8,2659975168,4007968768,7.096757411956787
3,75.91826891899109,7.5,28.3,4094017536,3784491008,7.254098892211914
4,79.61296725273132,24.7,20.3,3787866112,2793881600,7.364417552947998
6,9.022609233856201,10.7,23.7,2844033024,3778707456,4.589806079864502
9,12.14786696434021,14.3,18.0,3904634880,3782066176,3.5981414318084717
11,58.8367862701416,8.5,19.8,3898163200,3850649600,11.758133888244629
12,86.65708708763123,10.2,22.7,3917578240,3622928384,9.323921203613281
14,10.866724967956543,3.7,36.4,3655204864,3269722112,4.235443592071533
16,81.51077222824097,35.1,39.0,3139452928,2915778560,8.999028205871582
17,96.10020709037781,39.5,19.2,2846048256,3630153728,11.088685989379883
19,9.078720808029175,3.9,25.7,3691216896,3659972608,4.178825378417969
22,9.100655317306519,13.1,18.3,3810050048,3746103296,4.363103866577148
25,9.114951133728027,8.0,18.4,3805790208,3710550016,4.472661018371582
28,9.072422981262207,9.0,18.1,3807264768,3687333888,10.675373077392578
32,8.260705947875977,9.3,24.9,3790897152,3680796672,7.083133220672607
34,47.386165142059326,13.5,18.1,3767123968,3755032576,7.205812454223633
35,45.90741777420044,4.7,36.5,3781132288,3729358848,12.051316261291504
37,8.796016216278076,24.8,26.4,3425058816,3752263680,4.447299480438232
39,68.07885909080505,13.7,18.8,3803545600,3546988544,19.218461990356445
41,9.582165002822876,9.6,18.0,3586752512,3649683456,9.088418960571289
