Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu,Hallucination
0,1,14.663177967071533,5.1,21.3,2716418048,3751559168,nan,0,0.6429899334907532
1,10,17.137422800064087,25.8,23.9,3742646272,3870949376,1.9132417440414429,0.04761298946116126,0.4702697694301605
2,1,15.22494888305664,27.6,18.9,2863595520,3906453504,nan,0,0.6429899334907532
3,232,70.03780317306519,26.4,17.4,2884386816,3805462528,24.196674346923828,0.6894328381699317,0.22281423211097717
4,249,73.79547190666199,18.9,16.7,2789769216,3888300032,16.93418312072754,0.7123508210550348,0.0832723006606102
5,1,14.968034744262695,23.8,17.7,2848243712,3877257216,nan,0,0.6429899334907532
6,9,16.708595991134644,22.1,17.9,3891855360,3779313664,2.2184808254241943,0.1410002457876886,0.061692796647548676
7,1,15.089158773422241,21.9,17.5,2981822464,3875356672,nan,0,0.6429899334907532
8,1,14.98937702178955,23.0,17.5,3842473984,3809689600,nan,0,0.6429899334907532
9,21,19.836588144302368,21.2,22.7,3253092352,4064772096,2.0532824993133545,0.15952108192798922,0.02385939285159111
10,1,14.993816137313843,22.7,18.0,3629596672,3867361280,nan,0,0.6429899334907532
11,179,57.310346841812134,21.8,16.6,3640360960,3828563968,17.964815139770508,0.6223642499235987,0.30769526958465576
