Input Text Index,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Score
1,17.83629012107849,14.3,18.9,2602123264,4073095168,2.625109910964966
3,24.399938106536865,16.0,19.1,3393536000,3817635840,131.88916015625
4,20.29616928100586,14.7,21.5,3467968512,3548266496,99.43412780761719
6,18.248786211013794,7.9,19.2,3414065152,3880779776,2.482685089111328
9,17.58952498435974,22.0,18.8,2986950656,4026761216,2.6118288040161133
11,36.4336040019989,16.8,22.8,3671277568,3657760768,78.5235824584961
12,48.120948791503906,26.4,22.8,2770976768,3210067968,191.3224334716797
14,14.314927101135254,20.9,21.2,2842001408,3609608192,8.11030387878418
16,42.14189291000366,20.7,27.8,2830123008,3396157440,179.65127563476562
17,45.07486319541931,16.4,29.7,2959147008,2934423552,113.60651397705078
